ID palestra,Palestrante,Título,Link,Revisado por,Revisado em,38
1,Alexandre Villares,Aprendendo e ensinando Python para “programadores alternativos”,https://drive.google.com/open?id=1qgt3i1L-T0hRl21l-pcOikb_rmjTUUSw,pós palestra,,
2,Alexis Jawtuschenko,Un algoritmo de Mallado Poliedral en 3 Dimensiones para Aproximar Soluciones a Problemas Físicos Singulares,https://drive.google.com/open?id=1vt67qUst8teqofDs84vymoRFSMjmArFC,Mawkee,2019-10-05,
3,Amanda Savluchinske,"Em nome das Boas Práticas de Código da Casa Django, Rainha do Backend, eu te sentencio a testar - A Game of Tests",https://docs.google.com/presentation/d/1eCNAPqqDizU9IuZ5hIs8nBQyT2Q_UdrImcRZDnK6wTQ/edit#slide=id.g3ed3e07691_2_196,Mawkee,2019-10-16,
4,Anicely Santos,Tecnology is the new freedom,https://drive.google.com/open?id=1WEaYfhLO-MNLCLu8iABnWcKcSyG_L_QD,Mawkee,2019-10-21,
5,Arthur Fortes da Costa,Aprendizado Profundo Híbrido em Python para Análise de Sentimentos e Reconhecimento de Contexto,https://drive.google.com/open?id=1sizFtgRrbomTYuapaeX9ZQ0WfSdmyJpo,Mawkee,2019-10-16,
6,Barbara Barbosa,Fazendo seu chatbot do zero com Tensorflow,https://drive.google.com/open?id=13EFIaIrkhfDlXmW2076dPiH1Y1bRSetW9iRldk4LuJY,Mawkee,2019-10-19,
7,Betina Costa,Dr. Introvertido ou: Como eu Aprendi a Parar de Me Preocupar e Amar Cultura de Time,https://drive.google.com/open?id=1IW_8caqFGK4wbyktgXPa0xilFzRqF8Dg,pós palestra,,
8,Bruno Evangelista,Black Mirror ao contrário - Uso de tecnologia (e dados) para o bem,https://drive.google.com/open?id=16qwrC9Zh7PIz9mJTcwS5UyV62z3K2_X6,Mawkee,2019-10-21,
9,Bruno Gomes França,"Otimizando sistemas em Python com Kibana, Elasticsearch e APM",https://drive.google.com/open?id=1-pKoeILR0xtqgi4Y31yb2GGBAxVln1ua,Mawkee,2019-10-20,
10,Camilla Martins,Controle de Backups e rotinas com Django e Fabric,https://docs.google.com/presentation/d/1JwJyaVXWvQ3pbXixEcnC2VQVgySLwtdoX0uHKvpAaxQ/edit?usp=sharing,Mawkee,2019-10-18,
11,Danielle Monteiro,Desvendando a caixa preta do MongoDB,,,,
12,David Cosac Junior,Python e Ciência de Dados no Combate à Corrupção,https://drive.google.com/open?id=1xujZRqb1Vd9sdm_1Cpp-VEzbXk_ov6mo,pós palestra,,
13,Diego Moreira Guimarães,Música com Python e FoxDot,Não usará https://pythonbrasil.freshdesk.com/a/tickets/3113,--,--,
14,Eder Ferreira Martins,Código legado de machine learning? Como migramos para Python 3 sem sofrimento,http://docs.google.com/presentation/d/1EpMwYW9SiQOHolIeyDYZERG6o_qD_pNzgopa5FVPTCc,Mawkee,2019-10-16,
15,Emanuel Lima,Acelerando Aplicações Científicas com Cython,https://drive.google.com/open?id=1poqD7dMRdImnJMeuMbq4Pvc1WWzYLe5g,Mawkee,2019-10-24,
16,Fernando Masanori,"Descanso: não um luxo, mas uma necessidade",https://speakerdeck.com/fmasanori/descanso-nao-um-luxo-mas-uma-necessidade,Mawkee,2019-10-18,
